nl,db_id,sql,type,comments
Print me different codes of countries in which there are more then 10 percent of people speaking not official languages,world_1,SELECT DISTINCT(CountryCode) FROM countrylanguage WHERE IsOfficial='F' AND Percentage > 10,binary-true-false,
Show all shops id with part time vacancies,employee_hire_evaluation,SELECT DISTINCT(Shop_ID) FROM hiring WHERE Is_full_time == 'F',binary-true-false,
Show all debate id with affirmative win,debate,SELECT Debate_ID FROM debate_people WHERE If_Affirmative_Win='T',binary-true-false,
Amount of debates with negative win,debate,SELECT COUNT(*) FROM debate_people WHERE If_Affirmative_Win='F',binary-true-false,
Amount of debates without affirmative win,debate,SELECT COUNT(*) FROM debate_people WHERE If_Affirmative_Win='F',binary-true-false,
Minimum attendance of shows with results,orchestra,SELECT MIN(Attendance) FROM show WHERE Result='T',binary-true-false,
List all booking ID that became available at 2015-07-15 11:06:29,apartment_rentals,SELECT DISTINCT(apt_booking_id) FROM View_Unit_Status WHERE status_date == '2015-07-15 11:06:29',binary-0-1,
Show me all status dates for unavailable bookings!,apartment_rentals,SELECT status_date FROM View_Unit_Status WHERE available_yn=0,binary-0-1,
Show the names of the physicians with the primary affiliation,hospital_1,SELECT Name FROM Physician JOIN Affiliated_With ON Physician.EmployeeID=Affiliated_With.Physician WHERE Affiliated_With.PrimaryAffiliation=1,binary-0-1,
What are the ID  of physicians  who do not have primary affiliation?,hospital_1,SELECT Physician FROM Affiliated_With WHERE PrimaryAffiliation=0,binary-0-1,
What are the names of the registered nurses?,hospital_1,SELECT Name FROM Nurse WHERE Registered=1,binary-0-1,
Numbers of unavailable rooms,hospital_1,SELECT RoomNumber FROM Room WHERE Unavailable=1,binary-0-1,
Whate are the room numbers of available rooms?,hospital_1,SELECT RoomNumber FROM Room WHERE Unavailable=0,binary-0-1,Twice no
Show me the first names of active customers,sakila_1,SELECT first_name FROM customer WHERE active=1,binary-0-1,
What is the average amount of booked counts that were returned late?,products_for_hire,SELECT AVG(booked_count) FROM Products_Booked WHERE returned_late_yn=1,binary-0-1,
List the IDs of bookings that were reurned in time,products_for_hire,SELECT booking_id FROM Products_Booked WHERE returned_late_yn=0,binary-0-1,
What is the maximum level number of catalogs with attribute values?,product_catalog,SELECT MAX(catalog_level_number) FROM Catalog_Contents_Additional_Attributes WHERE attribute_value=1,binary-0-1,
List the names of catalogs without attribute values.,product_catalog,SELECT Catalogs.catalog_name FROM Catalogs JOIN Catalog_Contents_Additional_Attributes ON Catalogs.catalog_id=Catalog_Contents_Additional_Attributes.catalog_entry_id WHERE attribute_value=0,binary-0-1,
How many candidates did not pass the assessment?,student_assessment,"SELECT COUNT(*) FROM Candidate_Assessments WHERE asessment_outcome_code=\""Fail\""",binary-antonyms,
